100    1   0.000238100
100    2   0.000323200
100    4   0.000264100
100    8   0.000221200
100    16   0.000300300
100    32   0.000266500
1000    1   0.000274800
1000    2   0.000631700
1000    4   0.000240200
1000    8   0.000255100
1000    16   0.000249000
1000    32   0.000195000
10000    1   0.000244300
10000    2   0.000187100
10000    4   0.000245300
10000    8   0.000216600
10000    16   0.000264100
10000    32   0.000227700
100000    1   0.000251900
100000    2   0.000253600
100000    4   0.000227900
100000    8   0.000262000
100000    16   0.000353100
100000    32   0.000221500
1000000    1   0.000235800
1000000    2   0.000344000
1000000    4   0.000212000
1000000    8   0.000202800
1000000    16   0.000218200
1000000    32   0.000218400
10000000    1   0.000221900
10000000    2   0.000236200
10000000    4   0.000276100
10000000    8   0.000246600
10000000    16   0.000241100
10000000    32   0.000265600
100000000    1   0.000203900
100000000    2   0.000262200
100000000    4   0.000199700
100000000    8   0.000243200
100000000    16   0.000279500
100000000    32   0.000303500
1000000000    1   0.000250000
1000000000    2   0.000221300
1000000000    4   0.000256200
1000000000    8   0.000273900
1000000000    16   0.000182900
1000000000    32   0.000452500
